الصف,المهارة,ناتج التعلم,مؤشر التعلم,,,,,,,,,,,,,,,,,,,,,,
الأول,مهارة الاستماع,,,,,,,,,,,,,,,,,,,,,,,,
,"التوصيف: يستمع المتعلم إلى نصوص تتعلق موضوعاتها  به شخصيًّا، أو بأسرته، أو بالأشياء الملموسة حوله؛ بشرط أن يكون المسموع بطيئًا واضحًا ودقيقًا، مع ترك مساحات زمنية بين الجمل البسيطة لفهم معناها الكلي.",يتوصل إلى المعنى الصحيح للكلمات والجمل.,يحدد معاني الكلمات مستعينًا بتعبيرات الجسد (حركة).,,,,,,,,,,,,,,,,,,,,,,
,,,يربط الكلمة المسموعة بالصورة المناسبة.,,,,,,,,,,,,,,,,,,,,,,
,,,يضع الكلمة في جملة من تعبيره.,,,,,,,,,,,,,,,,,,,,,,
,,يستمع إلى مجالات متنوعة (شخصية / عامة),,,,,,,,,,,,,,,,,,,,,,,
,,,يفهم قصة حياتية بسيطة تحكى له.,,,,,,,,,,,,,,,,,,,,,,
,,,"ينفذ تعليمات بسيطة جدًّا (تفضل، اكتب، اجلس)",,,,,,,,,,,,,,,,,,,,,,
,,,يجيب عن أسئلة قصيرة لفهم المسموع.,,,,,,,,,,,,,,,,,,,,,,
,,يحلل جزئيات المادة المسموعة.,,,,,,,,,,,,,,,,,,,,,,,
,,,يخمن المعنى العام للنص من خلال النبر وطبقة الصوت.,,,,,,,,,,,,,,,,,,,,,,
,,,يحدد الفكرة العامة للنص من خلال اختيارات متعددة.,,,,,,,,,,,,,,,,,,,,,,
,,,يذكر الأصوات المتقاربة صوتًا أو رسمًا.,,,,,,,,,,,,,,,,,,,,,,
,,,يخمن الشعور العام للنص من خلال النبر وتلوين الصوت.,,,,,,,,,,,,,,,,,,,,,,
,,ينقد المادة المسموعة.,,,,,,,,,,,,,,,,,,,,,,,
,,,يبدي إعجابه بموضوع النص المسموع.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,مهارة التحدث,,,,,,,,,,,,,,,,,,,,,,,,
,"التوصيف: يتكلم المتعلم في موضوعات مألوفة لديه باستخدام بعض الجمل والتعبيرات المفردة والجاهزة والقصيرة للغاية والمشفوعة  بالإيماءات والإشارات الجسمية المساعدة، لكنه غالبًا ما يحتاج إلى التوقف لأكثر من سبب (حل مشكلات نطق أو تفاهم)",يتقن بعض المهارات الصوتية.,يحاكي نطق الكلمات.,,,,,,,,,,,,,,,,,,,,,,
,,,يميز بين الحركات القصيرة والطويلة.,,,,,,,,,,,,,,,,,,,,,,
,,,يقسم الكلمات إلى أصوات رئيسة (مقاطع).,,,,,,,,,,,,,,,,,,,,,,
,,,يحلل الكلمات إلى مقاطع (ثنائية / ثلاثية المقاطع),,,,,,,,,,,,,,,,,,,,,,
,,,ينشد الحروف الأبجدية بترتيبها.,,,,,,,,,,,,,,,,,,,,,,
,,يستخدم أنماطًا محددة من التواصل الشفهي.,,,,,,,,,,,,,,,,,,,,,,,
,,,يصف كيف يصل إلى الصف كل صباح.,,,,,,,,,,,,,,,,,,,,,,
,,,يصف كيف يذهب إلى النادي.,,,,,,,,,,,,,,,,,,,,,,
,,,يحكي قصة بسيطة بعد ترتيب صورها.,,,,,,,,,,,,,,,,,,,,,,
,,,يرتب الجمل ليكون قصة بسيطة.,,,,,,,,,,,,,,,,,,,,,,
,,,يبدي رأيه في ترتيب بعض الأشياء في الصف.,,,,,,,,,,,,,,,,,,,,,,
,,,يبدي رأيه في سلوك إحدى شخصيات / أحداث القصة.,,,,,,,,,,,,,,,,,,,,,,
,,,يشارك زملاءه في إلقاء نشيد في الصف أو خارجه.,,,,,,,,,,,,,,,,,,,,,,
,,يوظف معرفته اللغوية في الكلام (بسيطة / متنوعة),,,,,,,,,,,,,,,,,,,,,,,
,,,يستخدم تعبيرات تتعلق بمعلومات محددة عن شخص مألوف لديه.,,,,,,,,,,,,,,,,,,,,,,
