Grade,Chapter,Topic Nos.,Topic,Subtopic Nos.,"Skill (Reading, Listening, Speaking, Writing, Language)",Domain & Axis,Standard , Learning Objectives Nos., Learning Objectives ," Linguistic Concepts (Grammar, Spelling, Rhetoric)",Saal Practice,Saal Lessons,,,,,,,,,,,,,,
Grade 2,,1.1,المـعرفـة بـالـكـتـب والمطبوعات,1.1.1,القراءة,أسـاسـيـات القراءة,"أن يظهر المتعلم فهم لمفهوم المـادة المطبوعة ومكوناتها والغرض منها، ويميز البنية التنظيمية للنصوص القرائية.",G2.1.1.1.1,"يتعرف المتعلم الأنماط التنظيمية للكتب بمساريها المطبوع والإلكتروني، مثال: جدول المحتويات، الفصول، النصوص المتنوعة.",,,,,,,,,,,,,,,,,
Grade 2,,1.1,المـعرفـة بـالـكـتـب والمطبوعات,1.1.1,القراءة,أسـاسـيـات القراءة,"أن يظهر المتعلم فهم لمفهوم المـادة المطبوعة ومكوناتها والغرض منها، ويميز البنية التنظيمية للنصوص القرائية.",G2.2.1.1.1,يطبق المتعلم معرفته بالمطبوعات لدى اطلاعه على المواد الرقمية المعروضة على الإنترنت أو من خلال وسائل رقمية أخرى؛ ليحدد تنظيمها.,,,,,,,,,,,,,,,,,
Grade 2,,1.1,المـعرفـة بـالـكـتـب والمطبوعات,1.1.1,القراءة,أسـاسـيـات القراءة,"أن يظهر المتعلم فهم لمفهوم المـادة المطبوعة ومكوناتها والغرض منها، ويميز البنية التنظيمية للنصوص القرائية.",G2.3.1.1.1,"يحدد المتعلم العنوان واسم المؤلف وفهرس المحتويات وعناوين الفصول في مواد مطبوعة يقرؤها، ليعين المعلومات المطلوبة.",,,,,,,,,,,,,,,,,
Grade 2,,2.1,الــــوعــــي الصوتي,2.2.1,القراءة,أسـاسـيـات القراءة,"أن يظـهـر المـتـعـلم فهم بالأصوات والمقاطع الصوتية، والرموز المطبوعة والكلمات التي تمثلها.",G2.1.2.2.1,ينشئ المتعلم كلمات جديدة ذات معنى بإضافة أو حذف أو تغيير الأصوات في الكلمات.,,,,,,,,,,,,,,,,,
Grade 2,,2.1,الــــوعــــي الصوتي,2.2.1,القراءة,أسـاسـيـات القراءة,"أن يظـهـر المـتـعـلم فهم بالأصوات والمقاطع الصوتية، والرموز المطبوعة والكلمات التي تمثلها.",G2.2.2.2.1,يطبق المتعلم معرفته بقواعد الصوتيات في التحليل والتركيب صوتيا.,,,,,,,,,,,,,,,,,
Grade 2,,3.1,تعرف الكلمات والطلاقة,2.3.1,القراءة,أسـاسـيـات القراءة,أن يطبق المتعلم إستراتيجيات الـقـراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطـلاقـة مـع فـهـم المـعـاني والدلالات.,G2.1.2.3.1,يقرأ المتعلم قراءة جهرية سليمة مراعيا التنغيم والضبط السليم في حدود 50 كلمة في الدقيقة الواحدة على أن تكون الكلمات مشكولة شكلا تاما.,,,,,,,,,,,,,,,,,
Grade 2,,3.1,تعرف الكلمات والطلاقة,2.3.1,القراءة,أسـاسـيـات القراءة,أن يطبق المتعلم إستراتيجيات الـقـراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطـلاقـة مـع فـهـم المـعـاني والدلالات.,G2.2.2.3.1,"يقرأ المتعلم بطلاقة وبنطق سليم مستثمرا معرفته باللام القمرية - اللام الشمسية - الهمزة - التاء المربوطة - أنواع التنوين الثلاثة، على أن تكون الكلمات مشكولة شكلا تاما.",,,,,,,,,,,,,,,,,
Grade 2,,3.1,تعرف الكلمات والطلاقة,2.3.1,القراءة,أسـاسـيـات القراءة,أن يطبق المتعلم إستراتيجيات الـقـراءة الصحيحة لقراءة الكلمات والنصوص بدقة وطـلاقـة مـع فـهـم المـعـاني والدلالات.,G2.3.2.3.1,يقرأ المتعلم بطلاقة مستثمرا فهمه للنص من خلال السياق والصور على أن تكون الكلمات مشكولة شكلا ا.,,,,,,,,,,,,,,,,,
Grade 2,,1.2,مـــعـــرفـــة الـــفـــكـــر الـرئـيـسـة والتفاصيل,1.1.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يـحـدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية.",G2.1.1.1.2,"يجيب المتعلم عن أسئلة لنص شعري، ويطرح أسئلة: من - ماذا - متى - أين - لماذا - كيف مظهرا فهمه للنص، مبديا رأيه فيه.",,,,,,,,,,,,,,,,,
Grade 2,,1.2,مـــعـــرفـــة الـــفـــكـــر الـرئـيـسـة والتفاصيل,1.1.2,القراءة,قــــــــراءة الـنـصـوص الأدبية,"أن يـحـدد المتعلم الفكر الرئيسة والتفاصيل المساندة التي تسهم في توضيح الفكرة الرئيسة، أو الرسالة العامة، أو الدروس المقدمة في النصوص الأدبية.",G2.2.1.1.2,"يحدد العناصر الفنية: الشخصيات، والمكان والزمان، والأحداث الرئيسة مستخلصا مغزاها، معبرًا عن رأيه فيها.",,,,,,,,,,,,,,,,,
